Geneid	RT	shape_category
OR4F5	0.3204061621815919	ac
OR4F29	0.5095835996276635	ac
OR4F16	0.30294185109209804	ac
SAMD11	0.2421042617623792	me3_domain
NOC2L	0.23312017350206604	me1
KLHL17	0.2288289003732773	me1
PLEKHN1	0.22593238342708366	me2
PERM1	0.22320082951555353	me3_domain
HES4	0.21824693532294137	ac
ISG15	0.217252384729537	ac
AGRN	0.21707236843252242	me1
RNF223	0.22134906350412675	me2
C1ORF159	0.225438686036598	me1
TTLL10	0.22439229605997835	me2
TNFRSF18	0.22023190724105557	me2
TNFRSF4	0.21840039897986474	me1
SDF4	0.21542177230051218	ac
B3GALT6	0.2132912264409108	ac
C1QTNF12	0.2101029528165509	me1
UBE2J2	0.20507450009102268	ac
SCNN1D	0.20005229417456505	me2
ACAP3	0.19698215187315626	ac
PUSL1	0.19559069386009953	ac
INTS11	0.19429406035768892	ac
CPTP	0.1933085354217131	ac
TAS1R3	0.1926001780414297	me1
DVL1	0.19170819529216165	ac
MXRA8	0.19073885322243356	ac
AURKAIP1	0.19011570521763388	ac
CCNL2	0.18984900012937378	ac
MRPL20	0.18974875266270042	ac
ANKRD65	0.18956179827109154	me1
TMEM88B	0.1894151379825234	me1
VWA1	0.18907598837546147	me1
ATAD3C	0.1879909183275713	me2
ATAD3B	0.18628916287876407	ac
ATAD3A	0.1846360030204255	ac
TMEM240	0.1850045242521281	ac
SSU72	0.1875383418567489	ac
FNDC10	0.19894336089892517	me1
MIB2	0.20869364434209003	me1
MMP23B	0.2133483570503817	me1
CDK11B	0.21765379333496104	ac
SLC35E2B	0.22878662698738017	ac
CDK11A	0.231316009575271	ac
NADK	0.21141739070309018	ac
GNB1	0.1821888479209932	me1
CALML6	0.19712880368739616	me2
TMEM52	0.19917031222205184	me1
CFAP74	0.22829819620884695	me3_domain
GABRD	0.25871169749326695	me3_domain
PRKCZ	0.25390598672042586	me3_domain
FAAP20	0.23498338106146266	ac
SKI	0.24708967027190765	me1
MORN1	0.2940875738908717	me3_domain
RER1	0.31134764311129626	ac
PEX10	0.3143578259188332	ac
PLCH2	0.3258399217793806	me3_domain
PANK4	0.34094678922112553	me1
HES5	0.3463342750673495	me3_domain
TNFRSF14	0.3648151999166095	me2
PRXL2B	0.38968195937393224	ac
MMEL1	0.4170201725362177	me3_domain
TTC34	0.526119097576255	me1
ACTRT2	0.5870154622249737	me3_domain
PRDM16	0.5253126658934186	me3_domain
ARHGEF16	0.3999949249475483	me3_domain
MEGF6	0.3374704501437852	me3_domain
TPRG1L	0.28379019075927525	me1
WRAP73	0.2761473234557773	me1
TP73	0.25274670445064673	me3_domain
CCDC27	0.20676464984881848	me2
SMIM1	0.19108896769945727	ac
LRRC47	0.17727190121224712	ac
CEP104	0.17193950636604716	me1
DFFB	0.23610794440180105	me1
C1ORF174	0.32911653220090253	ac
AJAP1	0.634071674084068	me3
NPHP4	0.3794335416723278	me1
KCNAB2	0.3266092051580576	me3
CHD5	0.27979303394756283	me3_domain
ENSG00000285629	0.2640725252232877	me3
RPL22	0.2575158209043269	ac
RNF207	0.2530850562992635	ac
ICMT	0.24926234715006046	ac
HES3	0.24642917696634925	me3_domain
GPR153	0.2449804844475335	me3_domain
ACOT7	0.23974524713020695	me1
HES2	0.2292846876913076	me3_domain
ESPN	0.2250454099203142	me3_domain
TNFRSF25	0.22157204182942702	me3_domain
PLEKHG5	0.21892539378796516	me3_domain
NOL9	0.21900840825781875	ac
TAS1R1	0.22228148377383405	ac
ZBTB48	0.22532670633014373	ac
KLHL21	0.2297946151662268	ac
PHF13	0.23402441047735978	ac
THAP3	0.2377017862876738	ac
DNAJC11	0.25460287501279155	me1
CAMTA1	0.45774032572573875	me3_domain
VAMP3	0.38220909332045216	ac
PER3	0.3737678985461854	ac
UTS2	0.3646499764116208	Unassigned
TNFRSF9	0.33109953214001964	me3_domain
PARK7	0.32134960574036864	ac
ERRFI1	0.3245811986327848	ac
SLC45A1	0.39355588208089476	me3_domain
RERE	0.3032737010172487	me1
ENO1	0.23562760113812586	ac
CA6	0.26254668126295255	me3_domain
SLC2A7	0.3026689887330565	me3_domain
SLC2A5	0.33555405620144174	me3_domain
GPR157	0.35869218705572437	me3_domain
H6PD	0.399207268447054	me3_domain
SPSB1	0.4143651528793041	me3_domain
SLC25A33	0.2958389899007179	ac
TMEM201	0.2864307625823227	me1
PIK3CD	0.2657466682005831	ac
CLSTN1	0.23248577589713804	me1
CTNNBIP1	0.20075490608224422	me1
LZIC	0.19559576130276923	ac
NMNAT1	0.20094895766642995	me1
RBP7	0.21675315029928166	me3_domain
UBE4B	0.26178873193025876	me1
KIF1B	0.2521443944524926	me1
PGD	0.24946613326081024	ac
CENPS-CORT	0.24602148758998954	me1
CENPS	0.24653747135372261	me1
CORT	0.2449101183292357	me1
DFFA	0.24377413712014373	ac
PEX14	0.2690462799188441	me1
CASZ1	0.34125113507999183	me3_domain
C1ORF127	0.255487727464504	me3_domain
